Part,Description,Link,Unit Price (AUD),Quantity,Cost,Shipping Cost (per vendor),
Battery Box,Battery Box 4x AAA. Power for servos.,https://core-electronics.com.au/4-aaa-battery-holder.html,4.25,1,4.25,,
Touch Sensor,HW763 Touch Sensor,https://core-electronics.com.au/capacitive-touch-sensor-red.html,1.05,1,1.05,,
Boost Converter,5V 600mA Boost Converter,https://core-electronics.com.au/dc-dc-boost-module-5v.html,6.6,1,6.6,,
Motor,9g Micro Servo,https://core-electronics.com.au/feetech-fs90-1-5kgcm-micro-servo-9g.html,4.76,10,47.6,,
Resistor,10kΩ Resistor,https://core-electronics.com.au/resistor-10k-ohm-025-watt-pth.html,0.85,5,4.25,,
Display,"0.96"" OLED Display",https://core-electronics.com.au/ssd1306-oled-white-pre-soldered.html,6.7,1,6.7,6.8,
Charging Module,USB-C 5V 1A TP4056 Charging Module,https://www.aliexpress.com/item/1005005237080994.html,0.22,1,0.22,,
Lipo Battery,"3.7V 1500mAh LiPo Battery. Power for sensors, display, and microcontroller.",https://www.aliexpress.com/item/1005008347608135.html,11.7,1,11.7,,
Microcontroller,"ESP32-S3 Dev Board Microcontroller, Pre-soldered pins",https://www.aliexpress.com/item/1005008796158734.html,5.86,1,5.86,,
Toggle Switch,Toggle Switch,https://www.aliexpress.com/item/1005009993277549.html,2.22,1,2.22,,
Temperature Sensor,DHT-22 Temperature and Humidity Sensor,https://www.aliexpress.com/item/1005010283810231.html,2.62,1,2.62,12.15,
Motor Battery,1.5V AAA Battery,https://www.officeworks.com.au/shop/officeworks/p/j-burrows-aa-batteries-8-pack-jbbty0aap8,3,1,3,,
Jumper Wires,Jumper Wires,https://zaitronics.com.au/products/jumper-wire-10cm-male-to-male-40pcs,3.1,1,3.1,,ALREADY HAVE
,,,,Subtotal,99.17,,
,,,,Total AUD,118.12,,
,,,,Total USD,83.22,,